Sender: LSF System <lsfadmin@c-195-34>
Subject: Job 974030: <python Bayes_MAP.py --MAP> in cluster <killdevil> Done

Job <python Bayes_MAP.py --MAP> was submitted from host <killdevil-login2> by user <wcstrick> in cluster <killdevil>.
Job was executed on host(s) <12*c-195-34>, in queue <week>, as user <wcstrick> in cluster <killdevil>.
</nas02/home/w/c/wcstrick> was used as the home directory.
</nas02/home/w/c/wcstrick/Parasitoids_h_2/analytic> was used as the working directory.
Started at Mon Aug  8 12:29:23 2016
Results reported on Tue Aug  9 02:09:49 2016

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
python Bayes_MAP.py --MAP
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   421153.84 sec.
15.8 sec./model at 13:22:02 08/08/2016
15.8 sec./model at 13:22:18 08/08/2016
15.8 sec./model at 13:22:34 08/08/2016
15.8 sec./model at 13:22:49 08/08/2016
15.8 sec./model at 13:23:05 08/08/2016
15.8 sec./model at 13:23:21 08/08/2016
15.8 sec./model at 13:23:37 08/08/2016
15.8 sec./model at 13:23:53 08/08/2016
15.8 sec./model at 13:24:09 08/08/2016
15.8 sec./model at 13:24:24 08/08/2016
15.8 sec./model at 13:24:40 08/08/2016
15.8 sec./model at 13:24:56 08/08/2016
15.9 sec./model at 13:25:12 08/08/2016
15.8 sec./model at 13:25:28 08/08/2016
15.8 sec./model at 13:25:44 08/08/2016
15.8 sec./model at 13:25:59 08/08/2016
15.8 sec./model at 13:26:15 08/08/2016
15.8 sec./model at 13:26:31 08/08/2016
15.8 sec./model at 13:26:47 08/08/2016
15.8 sec./model at 13:27:03 08/08/2016
15.8 sec./model at 13:27:19 08/08/2016
15.8 sec./model at 13:27:34 08/08/2016
15.8 sec./model at 13:27:50 08/08/2016
15.8 sec./model at 13:28:06 08/08/2016
15.8 sec./model at 13:28:22 08/08/2016
15.8 sec./model at 13:28:38 08/08/2016
15.8 sec./model at 13:28:53 08/08/2016
15.8 sec./model at 13:29:09 08/08/2016
15.8 sec./model at 13:29:25 08/08/2016
15.8 sec./model at 13:29:41 08/08/2016
15.8 sec./model at 13:29:57 08/08/2016
15.8 sec./model at 13:30:13 08/08/2016
15.8 sec./model at 13:30:28 08/08/2016
15.8 sec./model at 13:30:44 08/08/2016
15.8 sec./model at 13:31:00 08/08/2016
15.8 sec./model at 13:31:16 08/08/2016
15.8 sec./model at 13:31:32 08/08/2016
15.8 sec./model at 13:31:47 08/08/2016
15.8 sec./model at 13:32:03 08/08/2016
15.8 sec./model at 13:32:19 08/08/2016
15.8 sec./model at 13:32:35 08/08/2016
15.8 sec./model at 13:32:51 08/08/2016
15.8 sec./model at 13:33:07 08/08/2016
15.8 sec./model at 13:33:22 08/08/2016
15.8 sec./model at 13:33:38 08/08/2016
15.9 sec./model at 13:33:54 08/08/2016
15.8 sec./model at 13:34:10 08/08/2016
