1	0.340163050991191	-0.821226251121144	0.888888888888889	%	2008/03/31	
1	0	0	0	%	2008/03/31	01:00:00
1	0.340163050991191	-0.821226251121144	0.888888888888889	%	2008/03/31	01:30:00
1	0	0	0	%	2008/03/31	
1	0.510244576486787	-1.23183937668172	1.33333333333333	%	2008/03/31	02:30:00
1	0.340163050991191	-0.821226251121144	0.888888888888889	%	2008/03/31	03:00:00
1	0	0	0	%	2008/03/31	
1	0.510244576486787	-1.23183937668172	1.33333333333333	%	2008/03/31	04:00:00
1	0	0	0	%	2008/03/31	04:30:00
1	0	0	0	%	2008/03/31	
1	0.340163050991191	-0.821226251121144	0.888888888888889	%	2008/03/31	05:30:00
1	0	0	0	%	2008/03/31	06:00:00
1	0.340163050991191	-0.821226251121144	0.888888888888889	%	2008/03/31	
1	0.340163050991191	-0.821226251121144	0.888888888888889	%	2008/03/31	07:00:00
1	0	0	0	%	2008/03/31	07:30:00
1	0.821226251121144	-0.34016305099119	0.888888888888889	%	2008/03/31	
1	2.48934207371097	-1.03111924831704	2.69444444444444	%	2008/03/31	08:30:00
1	1.64245250224229	-0.68032610198238	1.77777777777778	%	2008/03/31	09:00:00
1	0	0	0	%	2008/03/31	
1	0	0	0	%	2008/03/31	10:00:00
1	0.628539361054709	-0.628539361054708	0.888888888888889	%	2008/03/31	10:30:00
1	0	0	0	%	2008/03/31	
1	2.05306562780286	-0.850407627477975	2.22222222222222	%	2008/03/31	11:30:00
1	1.57134840263677	-1.57134840263677	2.22222222222222	%	2008/03/31	12:00:00
1	1.64245250224229	-0.68032610198238	1.77777777777778	%	2008/03/31	12:30:00
1	2.05306562780286	-0.850407627477975	2.22222222222222	%	2008/03/31	
1	2.05306562780286	-0.850407627477975	2.22222222222222	%	2008/03/31	13:30:00
1	2.05306562780286	-0.850407627477975	2.22222222222222	%	2008/03/31	14:00:00
1	1.90525993819709	-1.90525993819709	2.69444444444444	%	2008/03/31	
1	1.90525993819709	-1.90525993819709	2.69444444444444	%	2008/03/31	15:00:00
1	1.57134840263677	-1.57134840263677	2.22222222222222	%	2008/03/31	15:30:00
1	2.05306562780286	-0.850407627477975	2.22222222222222	%	2008/03/31	
1	2.48934207371097	-1.03111924831704	2.69444444444444	%	2008/03/31	16:30:00
1	2.48934207371097	-1.03111924831704	2.69444444444444	%	2008/03/31	17:00:00
1	2.48934207371097	-1.03111924831704	2.69444444444444	%	2008/03/31	
1	2.05306562780286	-0.850407627477975	2.22222222222222	%	2008/03/31	18:00:00
1	2.05306562780286	-0.850407627477975	2.22222222222222	%	2008/03/31	18:30:00
1	1.23183937668172	-0.510244576486785	1.33333333333333	%	2008/03/31	
1	0.821226251121144	-0.34016305099119	0.888888888888889	%	2008/03/31	19:30:00
1	1.33333333333333	0	1.33333333333333	%	2008/03/31	20:00:00
1	0.821226251121144	0.340163050991191	0.888888888888889	%	2008/03/31	
1	0.628539361054709	0.628539361054709	0.888888888888889	%	2008/03/31	21:00:00
1	0.821226251121144	0.340163050991191	0.888888888888889	%	2008/03/31	21:30:00
1	0.628539361054709	0.628539361054709	0.888888888888889	%	2008/03/31	
1	0.314269680527354	0.314269680527354	0.444444444444444	%	2008/03/31	22:30:00
1	0.510244576486786	1.23183937668172	1.33333333333333	%	2008/03/31	23:00:00
1	1.08853898117545e-16	1.77777777777778	1.77777777777778	%	2008/03/31	
1	1.08853898117545e-16	1.77777777777778	1.77777777777778	%	2008/03/31	00:00:00
2	1.08853898117545e-16	1.77777777777778	1.77777777777778	%	2008/04/01	
2	8.16404235881585e-17	1.33333333333333	1.33333333333333	%	2008/04/01	01:00:00
2	8.16404235881585e-17	1.33333333333333	1.33333333333333	%	2008/04/01	01:30:00
2	1.36067372646931e-16	2.22222222222222	2.22222222222222	%	2008/04/01	
2	-0.680326101982382	1.64245250224229	1.77777777777778	%	2008/04/01	02:30:00
2	-0.680326101982382	1.64245250224229	1.77777777777778	%	2008/04/01	03:00:00
2	-0.510244576486786	1.23183937668172	1.33333333333333	%	2008/04/01	
2	-0.680326101982382	1.64245250224229	1.77777777777778	%	2008/04/01	04:00:00
2	-1.25707872210942	1.25707872210942	1.77777777777778	%	2008/04/01	04:30:00
2	-1.25707872210942	1.25707872210942	1.77777777777778	%	2008/04/01	
2	-1.25707872210942	1.25707872210942	1.77777777777778	%	2008/04/01	05:30:00
2	-1.25707872210942	1.25707872210942	1.77777777777778	%	2008/04/01	06:00:00
2	-1.57134840263677	1.57134840263677	2.22222222222222	%	2008/04/01	
2	-1.90525993819709	1.90525993819709	2.69444444444444	%	2008/04/01	07:00:00
2	-1.90525993819709	1.90525993819709	2.69444444444444	%	2008/04/01	07:30:00
2	-2.5337992992518	2.5337992992518	3.58333333333333	%	2008/04/01	
2	-2.84806897977915	2.84806897977915	4.02777777777778	%	2008/04/01	08:30:00
2	-3.47660834083386	3.47660834083386	4.91666666666667	%	2008/04/01	09:00:00
2	-4.10514770188857	4.10514770188857	5.80555555555556	%	2008/04/01	
2	-4.10514770188857	4.10514770188857	5.80555555555556	%	2008/04/01	10:00:00
2	-4.41941738241592	4.41941738241592	6.25	%	2008/04/01	10:30:00
2	-4.10514770188857	4.10514770188857	5.80555555555556	%	2008/04/01	
2	-3.79087802136121	3.79087802136121	5.36111111111111	%	2008/04/01	11:30:00
2	-3.1623386603065	3.1623386603065	4.47222222222222	%	2008/04/01	12:00:00
2	-1.88152687579502	4.54240770151383	4.91666666666667	%	2008/04/01	12:30:00
2	-1.88152687579502	4.54240770151383	4.91666666666667	%	2008/04/01	
